,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
332,Rio Grande,BR,-32.035,-52.0986,60.91,82,100,22.28,overcast clouds
333,Gornyak,RU,50.9942,81.4661,45.63,49,63,6.02,broken clouds
334,Cerrito,CO,6.8432,-72.694,58.39,82,99,3.44,overcast clouds
335,Itarema,BR,-2.9248,-39.9167,77.92,78,18,14.85,few clouds
336,Nouadhibou,MR,20.931,-17.0347,73.38,83,66,14.97,broken clouds
337,Walvis Bay,NA,-22.9575,14.5053,56.08,82,0,1.14,clear sky
338,Xining,CN,36.6167,101.7667,49.57,69,0,2.73,clear sky
339,Esperance,AU,-33.8667,121.9,57.04,87,96,9.75,overcast clouds
340,Vieste,IT,41.8825,16.175,70.3,62,73,4.88,broken clouds
341,Mukhen,RU,48.1,136.1,61.39,81,85,2.75,overcast clouds
342,Coahuayana,MX,18.7333,-103.6833,87.28,69,95,5.46,overcast clouds
343,Hobyo,SO,5.3505,48.5268,77.13,86,92,26.98,overcast clouds
344,Leningradskiy,RU,69.3833,178.4167,31.57,91,100,6.11,overcast clouds
345,Varena,LT,54.2167,24.5667,57.85,86,23,4.94,few clouds
346,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,86,3,22.73,clear sky
